,Atelectasis,Cardiomegaly,Effusion,Infiltration,Mass,Nodule,Pneumonia,Pneumothorax,Consolidation,Edema,Emphysema,Fibrosis,Pleural_Thickening,Hernia
0.7735626965427665,0.7138613190835995,0.83491146490318,0.7593574775109055,0.6643514726395479,0.6889972948495611,0.6723554367021467,0.6298371116170468,0.7666102682064659,0.6877259700923359,0.790668045533272,0.7122441716810523,0.7741830884962906,0.7061292863889908,0.7787397554994393
0.7931648963140584,0.7257364639458316,0.8646012145597897,0.7696437619733415,0.6810583639395085,0.7199268328854259,0.6652523030681023,0.6708811549685968,0.798445601415762,0.7009594899648457,0.8127083226065835,0.7625962786116636,0.7755322847300169,0.7253622291610964,0.819405066868442
0.7956036753137663,0.7228956618578765,0.8752994534270423,0.7814171471477444,0.6681182230707197,0.7162397655647155,0.6511460504788169,0.6780337751631376,0.8041786802186824,0.706779713832709,0.8185371598342293,0.7831108232205186,0.7616832655171958,0.726938789033001,0.7955917879901179
0.8060580044264806,0.7366803376047194,0.8751961635971578,0.7852759513188463,0.6755399988198514,0.7404606591516316,0.6723718325511308,0.6823631463917289,0.8075024535050651,0.7039881364651712,0.8299275328183764,0.7932097415933422,0.7923854971683507,0.7314600591296269,0.8445910404492539
0.8092633159336274,0.7342325500613964,0.8772686969041567,0.7891251987956738,0.6799224203851002,0.7415688189958631,0.67208527958731,0.6808480938906905,0.825712708504919,0.7133830014307554,0.8287515378050825,0.8092520291501173,0.7882895760497797,0.7306884072321287,0.8575241811236816
0.8109242249650134,0.735512776376168,0.8746299163863371,0.7905637611549885,0.674868814559585,0.7341063240631901,0.6651512684900314,0.6750973124739656,0.8180798028380617,0.7050883619733465,0.8284652623114785,0.8064530552656716,0.7792404044390904,0.7320992055071347,0.8637834684072823
0.813922018665519,0.7367125227181452,0.8688713696170199,0.7945652173466501,0.6829355083476653,0.7452058733645642,0.6743328406402231,0.6758197019921024,0.8101189602791479,0.7127514928173208,0.8252349897625727,0.8131038830542214,0.793284306537165,0.7330861006092393,0.8672062027659012
0.8103519512497895,0.74244116350182,0.8729976614815058,0.79543049616015,0.6851556965948403,0.7443030356418954,0.6811015376853425,0.6803933194138457,0.8109277833447089,0.7174223165633421,0.8277376983809639,0.8142135180788401,0.7975302957002879,0.7361442643249523,0.8715319117901781
0.8146484065048397,0.7370112921549526,0.8712185769352297,0.7918107788090631,0.6770570446586555,0.7427100925501294,0.6649207454353375,0.6822153384272415,0.8201240995519664,0.7112984264239468,0.8306015707247923,0.8201021858928789,0.7874070754456246,0.7317379683037923,0.8564425259588123
0.8074242103540774,0.7384866781064428,0.8677947783995836,0.7902619318897018,0.6686696958382516,0.7452829715705348,0.675280043037167,0.653123208996873,0.805137634281219,0.714397481240377,0.8302809404191593,0.813113553808356,0.7921884671908312,0.7280123753393541,0.8680836516459574
