,Atelectasis,Cardiomegaly,Effusion,Infiltration,Mass,Nodule,Pneumonia,Pneumothorax,Consolidation,Edema,Emphysema,Fibrosis,Pleural_Thickening,Hernia
0.8013298159722042,0.7302685555842271,0.837032609692096,0.776996885904183,0.678947391642554,0.718528940306497,0.689527325747951,0.6719079237337611,0.812411528192635,0.7030628196711893,0.815162456851079,0.7803357275108573,0.77890207751734,0.7245269989433548,0.856502693882016
0.8165763840366838,0.738740679913787,0.8566671317292692,0.7861159441771561,0.6764768722869043,0.7390765721039543,0.6923864390578558,0.6913298151532459,0.8348076647834136,0.713233427199504,0.8272819493726632,0.8395080476170012,0.7882475021779282,0.7340043905177212,0.8991918353951482
0.8138711423219862,0.734912920394409,0.8512315642390207,0.792099734010649,0.6811087871696292,0.7438752475946827,0.6989512337101753,0.6560316290682765,0.8338588532679031,0.7065782195499961,0.8249119274517515,0.8480097419966015,0.7801915663129446,0.7393739678585651,0.8980522913950754
0.8091883559400748,0.7325201177585987,0.8471136358460302,0.7838246843589749,0.6675799107788791,0.733323419600499,0.6855224137065166,0.6751339514894427,0.8158297959357226,0.7089867214642149,0.8224510230306509,0.8405326621506362,0.760863167637198,0.7162112623502317,0.9017599117537125
0.8027541331196002,0.7184935689247882,0.8364365831640064,0.7809506048416915,0.6463906692345227,0.7330804104573977,0.6639288998527343,0.6380629878925163,0.8240547789297515,0.6931820353841753,0.8103216491186173,0.8307725188830809,0.7505340092562519,0.7168854895060173,0.869453839351645
0.7921418335772972,0.7144453953526236,0.8303029815871572,0.7740762399690144,0.6564774118411476,0.7128363536102064,0.6669515197983749,0.632121792093534,0.8178339730593306,0.6880665665566521,0.8006487757263973,0.834814184673841,0.7285645957276519,0.7028073996577934,0.8876024450056066
0.7853327830246826,0.7043075865489741,0.8142496712504997,0.7668624506893064,0.6471942413126378,0.7266641644701728,0.6697940694277706,0.6333179015475436,0.8077207722394393,0.6780635349909523,0.7868526018621272,0.8182388854750837,0.7262984083650715,0.6987749527464957,0.8864239286007313
0.7830457435435336,0.7086500534825688,0.8211948549148218,0.7693864090804967,0.6288042573658921,0.7069600640830993,0.6542430197900481,0.6179119884110542,0.799879297136238,0.6719131867084205,0.7900578094206241,0.8107320465903329,0.7054535229901047,0.6844140520753312,0.8466155543197834
0.7691743348335353,0.6921530273224179,0.8103435664330445,0.7633118588952498,0.644486151373728,0.7092624574070625,0.6519069082425031,0.6158127981666804,0.7889471962452586,0.6561411099422728,0.7886341004374322,0.8118708058938131,0.6973524525047201,0.6785448106763206,0.8396260472409361
0.7698333652785033,0.6994350175271697,0.8123540148395161,0.7653345761178323,0.6369895301553565,0.7051279025609762,0.6550562151693103,0.5918898996750311,0.7936076556403745,0.6769837554646664,0.7707550499711335,0.8158485476263544,0.6860509811069584,0.6874825736546969,0.8687222521035982
